frame,time_s,raw_yaw_deg,raw_pitch_deg,raw_screen_x,raw_screen_y,filtered_x,filtered_y,final_x,final_y,speed,locked,ear_avg,blink_click,fwd_x,fwd_y,fwd_z
1,1.4105,194.1422,162.0835,2185.1,2010.0,2185.1,2010.0,2185.1,1430.0,1150.35,0,0.2074,0,0.233141,-0.299154,0.925285
2,1.4965,191.1873,157.1971,1996.0,2361.8,2032.6,2321.6,2032.6,1430.0,152.54,0,0.2324,0,0.179361,-0.381277,0.906894
3,1.5829,196.8420,150.9541,2357.9,2811.3,2298.5,2782.3,2298.5,1430.0,265.97,0,0.2345,0,0.255837,-0.469353,0.845136
4,1.6724,193.1999,149.0655,2124.8,2947.3,2213.3,2936.5,2213.3,1430.0,85.22,0,0.2062,0,0.197232,-0.503960,0.840906
5,1.7557,192.2136,145.3380,2061.7,3215.7,2092.9,3197.9,2092.9,1430.0,120.47,0,0.2193,0,0.175284,-0.559929,0.809787
6,1.8405,200.6199,152.9298,2599.7,2669.1,2546.4,2860.3,2546.4,1430.0,453.52,0,0.2309,0,0.317693,-0.431506,0.844318
7,1.9266,189.4204,160.0888,1882.9,2153.6,1949.0,2193.4,1949.0,1430.0,597.35,0,0.2493,0,0.154133,-0.336494,0.928986
8,2.0149,189.4204,160.0888,1882.9,2153.6,1890.7,2156.7,1890.7,1430.0,58.28,0,0.2493,0,0.154133,-0.336494,0.928986
9,2.1015,187.5663,165.1291,1764.2,1790.7,1779.1,1812.6,1779.1,1430.0,111.67,0,0.2593,0,0.127335,-0.254553,0.958639
10,2.1484,188.1708,168.0732,1802.9,1578.7,1796.7,1600.2,1796.7,1430.0,17.59,0,0.2772,0,0.139117,-0.204653,0.968898
11,2.3158,195.7643,151.8317,2288.9,2748.1,2247.8,2692.8,2247.8,1430.0,451.15,0,0.2694,0,0.241498,-0.458091,0.855471
12,2.3618,187.6591,191.2805,1770.2,-92.2,1858.8,-14.9,1858.8,10.0,1472.32,0,0.2482,0,0.130748,0.193932,0.972263
13,2.4486,194.7985,167.9913,2227.1,1584.6,2130.3,1392.3,2130.3,1392.3,1408.69,0,0.2665,0,0.250184,-0.201443,0.947010
14,2.4951,184.3081,174.7826,1555.7,1095.7,1627.5,1131.6,1627.5,1131.6,566.39,0,0.2193,0,0.074810,-0.090680,0.993066
15,2.5829,204.7308,172.9909,2862.8,1224.7,2801.2,1212.6,2550.0,1212.6,926.06,0,0.2459,0,0.415771,-0.110980,0.902672
16,2.6291,213.7432,182.5880,3439.6,533.7,3403.7,584.5,2550.0,584.5,628.10,0,0.2984,0,0.555079,0.037559,0.830949
17,2.6738,217.2663,178.8455,3665.0,803.1,3649.9,773.2,2550.0,773.2,188.71,0,0.2628,0,0.605443,-0.016036,0.795727
18,2.7196,220.5612,175.4230,3875.9,1049.5,3862.7,920.7,2550.0,920.7,147.48,0,0.2405,0,0.649060,-0.060706,0.758311
19,2.7685,220.0194,175.5177,3841.2,1042.7,3842.8,977.4,2550.0,977.4,56.72,0,0.2310,0,0.641892,-0.059926,0.764450
20,2.8155,222.4141,174.8954,3994.5,1087.5,3982.6,1053.4,2550.0,1053.4,75.93,0,0.2452,0,0.673021,-0.065808,0.736689
21,2.8608,224.4944,174.7018,4127.6,1101.5,4115.3,1087.0,2550.0,1087.0,33.68,0,0.2601,0,0.699311,-0.066006,0.711764
22,2.9079,224.1250,174.3118,4104.0,1129.5,4105.2,1117.4,2550.0,1117.4,30.31,0,0.2609,0,0.694453,-0.071316,0.715995
23,2.9519,224.5066,174.6497,4128.4,1105.2,4125.3,1109.8,2550.0,1109.8,7.56,0,0.2635,0,0.699433,-0.066642,0.711585
24,2.9999,224.7248,174.5457,4142.4,1112.7,4139.9,1111.5,2550.0,1111.5,1.71,0,0.2574,0,0.702088,-0.067686,0.708866
25,3.0453,224.8334,174.5536,4149.3,1112.1,4147.6,1111.8,2550.0,1111.8,0.32,0,0.2593,0,0.703442,-0.067461,0.707544
26,3.0917,224.4087,174.6257,4122.2,1106.9,4128.4,1109.7,2550.0,1109.7,2.13,0,0.2564,0,0.698197,-0.067053,0.712759
27,3.1366,223.7968,174.5368,4083.0,1113.3,4099.8,1111.1,2550.0,1111.1,1.41,0,0.2569,0,0.690459,-0.068869,0.720085
28,3.1844,225.7955,172.8468,4210.9,1235.0,4183.2,1197.7,2550.0,1197.7,86.56,0,0.2597,0,0.714128,-0.087168,0.694567
29,3.2282,225.3780,172.2735,4184.2,1276.3,4183.9,1255.2,2550.0,1255.2,57.54,0,0.2591,0,0.708546,-0.094873,0.699258
30,3.2775,225.7959,171.3814,4210.9,1340.5,4202.7,1322.0,2550.0,1322.0,66.83,0,0.2520,0,0.712891,-0.105091,0.693356
31,3.3226,225.0263,170.9138,4161.7,1374.2,4181.7,1362.1,2550.0,1362.1,40.03,0,0.2582,0,0.702955,-0.112318,0.702310
32,3.3715,225.6552,170.4429,4201.9,1408.1,4192.6,1397.7,2550.0,1397.7,35.62,0,0.2559,0,0.710245,-0.116877,0.694185
33,3.4182,225.3174,170.6155,4180.3,1395.7,4187.6,1396.3,2550.0,1396.3,1.43,0,0.2550,0,0.706259,-0.115439,0.698478
34,3.4655,225.3754,170.2239,4184.0,1423.9,4186.4,1415.6,2550.0,1415.6,19.36,0,0.2574,0,0.706568,-0.120158,0.697369
35,3.5102,225.4598,169.8913,4189.4,1447.8,4187.3,1437.7,2550.0,1430.0,14.37,0,0.2547,0,0.707250,-0.124084,0.695989
36,3.5583,226.2907,171.1049,4242.6,1360.4,4216.7,1406.7,2550.0,1406.7,23.33,0,0.2560,0,0.718665,-0.107520,0.686994
37,3.6043,226.2183,171.0637,4238.0,1363.4,4228.1,1402.3,2550.0,1402.3,4.42,0,0.2462,0,0.717745,-0.108161,0.687854
38,3.6509,226.8570,172.0974,4278.8,1289.0,4259.5,1330.9,2550.0,1330.9,71.32,0,0.2572,0,0.726384,-0.094495,0.680762
39,3.6955,226.6809,171.8083,4267.6,1309.8,4264.1,1318.0,2550.0,1318.0,12.89,0,0.2497,0,0.724021,-0.098284,0.682740
